station_name,station_id,station_lat,station_lng
Chauncey St & Howard Ave,4293.05,40.681486726,-73.919568896
Degraw St & Smith St,4298.05,40.682984471,-73.993327379
Macon St & Patchen Ave,4301.04,40.68374,-73.9261
MacDonough St & Malcolm X Blvd,4301.07,40.682702661,-73.929348707
President St & Henry St,4307.13,40.6828003,-73.99990419
Macon St & Lewis Ave,4310.06,40.68282,-73.93488
Bushwick Ave & Furman Ave,4317.05,40.682676435,-73.906248569
Halsey St & Tompkins Ave,4319.07,40.6823687,-73.944118
Bergen St & 4 Ave,4322.06,40.68256425759694,-73.9798977971077
Thomas S. Boyland St & Macon St,4325.03,40.68491,-73.91493
Putnam Ave & Nostrand Ave,4327.09,40.68402,-73.94977
Hoyt St & Warren St,4330.09,40.6843549,-73.98901629
Halsey St & Ralph Ave,4334.02,40.684970021,-73.922754765
Monroe St & Classon Ave,4336.01,40.6845683,-73.95881081
Butler St & Court St,4339.01,40.6849894,-73.99440329
Hancock St & Malcolm X Blvd,4342.04,40.684877992,-73.929239273
Fulton St & Waverly Ave,4345.11,40.68323865460341,-73.96599590778351
Carroll St & Columbia St,4348.07,40.683024406,-74.003375411
S Portland Ave & Hanson Pl,4354.05,40.685305476,-73.974234819
Atlantic Ave & Fort Greene Pl,4354.07,40.68382604,-73.97632328
Moffat St & Bushwick,4357.01,40.68458,-73.90925
Pacific St & Nevins St,4362.04,40.6853761,-73.98302136
Halsey St & Broadway,4366.01,40.685765862,-73.915687084
Decatur St & Saratoga Ave,4366.1,40.683308363,-73.917134404
Decatur St & Saratoga Ave,4366.10,40.68332,-73.91711
Monroe St & Bedford Ave,4368.05,40.6851443,-73.95380904
Warren St & Smith St,4371.01,40.68542400997018,-73.99127773940563
Picnic Point,4374.01,40.68512559515415,-74.02535319328308
Jefferson Ave & Patchen Ave,4375.02,40.68609,-73.92628
Cambridge Pl & Gates Ave,4377.04,40.68488,-73.96304
Henry St & Degraw St,4380.08,40.6847514,-73.99917254
Hancock St & Stuyvesant Ave,4383.06,40.684545398,-73.932042241
Fulton St & Clermont Ave,4386.05,40.68415748,-73.96922273
Putnam Ave & Throop Ave,4392.04,40.6851532,-73.94111
Hanson Pl & Ashland Pl,4395.07,40.68506807308177,-73.97790759801863
Eldert St & Bushwick Ave,4399.03,40.68652,-73.91321
Bond St & Bergen St,4404.1,40.68485415,-73.986278296
Bond St & Bergen St,4404.10,40.6849668,-73.98620772
Macon St & Howard Ave,4408.07,40.68452,-73.92011
Warren St & Court St,4413.08,40.686250925,-73.993766904
Madison St & Malcolm X Blvd,4416.1,40.68713,-73.93008
Madison St & Malcolm X Blvd,4416.10,40.68713,-73.93008
Washington Ave & Greene Ave,4419.03,40.68650065,-73.96563307
Columbia St & Degraw St,4422.04,40.686010122,-74.002463818
Columbia St & Kane St,4422.05,40.68763155,-74.0016256
Lewis Ave & Madison St,4425.02,40.686312,-73.935775
Cumberland St & Lafayette Ave,4428.02,40.687642217,-73.972860336
Central Ave & Decatur St,4432.1,40.6882,-73.90798
Central Ave & Decatur St,4432.10,40.6882,-73.90798
Monroe St & Tompkins Ave,4434.06,40.686203,-73.944694
3 Ave & Schermerhorn St,4437.01,40.68683208,-73.9796772
Nevins St & Schermerhorn St,4437.09,40.68737247650719,-73.98176059126854
Yankee Ferry Terminal,4440.02,40.68706579875912,-74.01675585121666
